ProjectID,ProjectDuration,TotalSpent,TotalBudget,CPI,StartingDate,FinishDate,ProjectYear,WorkTypeId,ProjectCategoryId,ProjectTypeId,City,ProjectAreaCode,ProjectDirectors,ClientName,AreaName,CountryName,MainDesignOffice,Budgetspentpercentage
2978,50,13066,26292.25,0.99,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,49.7
2978,60,17928.8,26292.25,1.14,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,68.19
2978,70,20100,26292.25,1.09,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,76.45
2978,80,21547,26292.25,1.02,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,81.95
2978,90,25408.35,26292.25,1.07,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,96.64
2978,100,26215.25,26292.25,1,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,99.71
2978,10,1,26292.25,0,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,0
2978,20,1232,26292.25,0.23,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,4.69
2978,30,1753.2,26292.25,0.22,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,6.67
2978,40,7046.95,26292.25,0.67,16/10/2007 0:00,30/12/2012 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Institute of communications,Angola,Angola,38,26.8
2979,10,2263.25,39454,0.57,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,5.74
2979,20,5306.15,39454,0.67,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,13.45
2979,30,10194.75,39454,0.86,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,25.84
2979,40,17149,39454,1.09,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,43.47
2979,50,24292,39454,1.23,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,61.57
2979,60,30336.15,39454,1.28,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,76.89
2979,70,35160.1,39454,1.27,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,89.12
2979,80,40359.25,39454,1.28,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,102.29
2979,90,40373.75,39454,1.14,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,102.33
2979,100,40376.75,39454,1.02,NULL,NULL,2007,3,1,1,,71,Youssef Matar,Cabinda Gulf Oil Company Ltd (CABGOC),Angola,Angola,NULL,102.34
2980,10,10919.75,64427,1.69,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,16.95
2980,20,18707.5,64427,1.45,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,29.04
2980,30,28162.25,64427,1.46,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,43.71
2980,40,37734.25,64427,1.46,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,58.57
2980,50,44366.25,64427,1.38,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,68.86
2980,60,50321.25,64427,1.3,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,78.11
2980,70,56537.5,64427,1.25,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,87.75
2980,80,58960.5,64427,1.14,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,91.52
2980,90,61625,64427,1.06,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,95.65
2980,100,64427,64427,1,NULL,NULL,2007,3,1,1,,71,Joseph Hajjar,Ministério da Saúde - MINSA,Angola,Angola,NULL,100
2981,10,7514.75,65764.5,1.14,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,11.43
2981,20,15962.6,65764.5,1.21,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,24.27
2981,30,25566.65,65764.5,1.3,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,38.88
2981,40,34470.55,65764.5,1.31,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,52.42
2981,50,40867.75,65764.5,1.24,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,62.14
2981,60,46813.25,65764.5,1.19,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,71.18
2981,70,53403.7,65764.5,1.16,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,81.2
2981,80,59509.2,65764.5,1.13,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,90.49
2981,90,64232.4,65764.5,1.09,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,97.67
2981,100,66410,65764.5,1.01,01/01/2007 0:00,01/01/2009 0:00,2007,3,0,1,LUANDA,71,Joseph Hajjar,Ministério do Urbanismo e Construção (MINUC),Angola,Angola,38,100.98
2982,90,14820.5,585.75,28.11,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2530.17
2982,100,16191,585.75,27.64,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2764.15
2982,30,13395,585.75,76.23,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2286.81
2982,40,14123,585.75,60.28,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2411.1
2982,50,14559.25,585.75,49.71,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2485.57
2982,60,14559.25,585.75,41.43,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2485.57
2982,70,14559.25,585.75,35.51,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2485.57
2982,80,14570,585.75,31.09,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2487.41
2982,10,12535,585.75,214,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2139.99
2982,20,12916.75,585.75,110.26,28/03/2007 0:00,18/06/2007 0:00,2007,3,1,1,Luanda,71,Joseph Hajjar,Gabinete de Obras Especiais (G.O.E.),Angola,Angola,39,2205.16
2983,10,565,9647.75,0.59,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,5.86
2983,20,2547.25,9647.75,1.32,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,26.4
2983,30,4979.95,9647.75,1.72,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,51.62
2983,40,7340.75,9647.75,1.9,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,76.09
2983,50,8690,9647.75,1.8,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,90.07
2983,60,9334.05,9647.75,1.61,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,96.75
2983,70,10990.85,9647.75,1.63,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,113.92
2983,80,12103.25,9647.75,1.57,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,125.45
2983,90,12567.25,9647.75,1.45,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,130.26
2983,100,12569.5,9647.75,1.3,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,130.28
2984,10,967.75,11438.25,0.85,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,8.46
2984,20,2808.75,11438.25,1.23,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,24.56
2984,30,3492.5,11438.25,1.02,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,30.53
2984,40,4699,11438.25,1.03,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,41.08
2984,50,6060.75,11438.25,1.06,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,52.99
2984,60,7603.25,11438.25,1.11,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,38,66.47
